Card,Count,Description
Rapid Intensification,10,Doubles the effect of an intensity card
Cyclone Express,10,Doubles the effect of a movement card
Wrong Way Round,5,Move in the opposite direction of a movement card
Survival of the Fittest,3,Become immune from any weakening for the next 3 rounds
Eyewall Replacement,2,Stop one opponent of your choice from intensifying for 3 rounds
Vertical Wind Shear,2,Weaken every opponent by 10 knots
City Fortress,2,Protect one city of your choice from being impacted by any opponent for 3 rounds
Expand Circulation,2,Impact one city of your choice at an adjacent grid box
Breaking Free,2,Remove all negative effects affecting yourself
Instant Teleportation,4,Teleport to a genesis point of your choice
Extra Time,4,Be able to use 6 cards within this round
Factory Reset,4,Discard all your current cards and take 10 new cards from the deck
