Card,Count,W,E,N,S,Roll,Option
W 1,7,1,0,0,0,FALSE,FALSE
W 2,5,2,0,0,0,FALSE,FALSE
W 3,3,3,0,0,0,FALSE,FALSE
W 4,2,4,0,0,0,FALSE,FALSE
W 5,1,5,0,0,0,FALSE,FALSE
E 1,4,0,1,0,0,FALSE,FALSE
E 2,3,0,2,0,0,FALSE,FALSE
E 3,1,0,3,0,0,FALSE,FALSE
N 1,6,0,0,1,0,FALSE,FALSE
N 2,4,0,0,2,0,FALSE,FALSE
N 3,3,0,0,3,0,FALSE,FALSE
N 4,2,0,0,4,0,FALSE,FALSE
N 5,1,0,0,5,0,FALSE,FALSE
S 1,4,0,0,0,1,FALSE,FALSE
S 2,3,0,0,0,2,FALSE,FALSE
S 3,1,0,0,0,3,FALSE,FALSE
W 1 N 1,4,1,0,1,0,FALSE,FALSE
W 2 N 1,3,2,0,1,0,FALSE,FALSE
W 1 N 2,2,1,0,2,0,FALSE,FALSE
W 2 N 2,2,2,0,2,0,FALSE,FALSE
W 3 N 1,1,3,0,1,0,FALSE,FALSE
W 1 N 3,1,1,0,3,0,FALSE,FALSE
W 1 S 1,3,1,0,0,1,FALSE,FALSE
W 2 S 1,2,2,0,0,1,FALSE,FALSE
W 1 S 2,1,1,0,0,2,FALSE,FALSE
W 2 S 2,1,2,0,0,2,FALSE,FALSE
E 1 N 1,3,0,1,1,0,FALSE,FALSE
E 2 N 1,2,0,2,1,0,FALSE,FALSE
E 1 N 2,1,0,1,2,0,FALSE,FALSE
E 2 N 2,1,0,2,2,0,FALSE,FALSE
E 1 S 1,2,0,1,0,1,FALSE,FALSE
E 2 S 1,1,0,2,0,1,FALSE,FALSE
W ?,3,1,0,0,0,TRUE,FALSE
E ?,2,0,1,0,0,TRUE,FALSE
N ?,3,0,0,1,0,TRUE,FALSE
S ?,2,0,0,0,1,TRUE,FALSE
W/E 1,4,1,1,0,0,FALSE,TRUE
N/S 1,4,0,0,1,1,FALSE,TRUE
W/E/N/S 1,2,1,1,1,1,FALSE,TRUE
