City,City Name,Lon,Lat,Type,Initial Budget,Landfall Cost per kt,Label Loc,Label Colour
HKG,Hong Kong,115,23,Mega,1500,5,2,white
TPE,Taipei,121,25,Mega,1500,5,4,white
SHA,Shanghai,121,31,Mega,1500,5,4,black
PEK,Beijing,117,41,Mega,1500,5,2,white
SEO,Seoul,127,37,Mega,1500,5,4,white
OSA,Osaka,135,35,Mega,1500,5,2,white
TYO,Tokyo,141,37,Mega,1500,5,2,white
HAN,Hanoi,105,21,Mega,1500,5,4,black
BKK,Bangkok,101,15,Mega,1500,5,4,white
SIN,Singapore,103,3,Mega,1500,5,4,black
CAN,Guangzhou,113,25,Metro,750,3,4,white
NNG,Nanning,109,25,Metro,750,3,4,white
FOC,Fuzhou,117,27,Metro,750,3,4,black
NKG,Nanjing,119,33,Metro,750,3,4,white
TJN,Tianjin,119,39,Metro,750,3,4,white
PYY,Pyongyang,125,39,Metro,750,3,4,white
NGO,Nagoya,139,35,Metro,750,3,2,white
SGN,Saigon,107,11,Metro,750,3,4,black
KUL,Kuala Lumpur,101,5,Metro,750,3,4,black
MNL,Manila,121,13,Metro,750,3,2,black
ZHA,Zhanjiang,111,23,Regular,400,2,2,white
SYA,Sanya,111,19,Regular,400,2,2,white
XMN,Xiamen,117,25,Regular,400,2,2,white
KHH,Kaohsiung,121,23,Regular,400,2,2,white
WNZ,Wenzhou,119,29,Regular,400,2,4,black
QDO,Qingdao,121,37,Regular,400,2,2,white
DLN,Dalian,121,41,Regular,400,3,2,white
BUS,Busan,129,35,Regular,400,2,4,white
OKA,Okinawa,127,27,Regular,400,2,4,white
FUK,Fukuoka,131,33,Regular,400,2,4,white
SAP,Sapporo,141,43,Regular,400,2,2,white
VLA,Vladivostok,131,43,Regular,400,2,2,white
DAN,Da Nang,107,17,Regular,400,2,4,white
NHA,Nha Trang,109,13,Regular,400,2,4,black
PNH,Phnom Penh,105,13,Regular,400,2,4,black
PHU,Phuket,99,9,Regular,400,2,4,black
BRU,Brunei,113,5,Regular,400,2,4,white
KKI,Kota Kinabalu,117,7,Regular,400,2,2,black
CEB,Cebu,123,9,Regular,400,2,2,white
DVO,Davao,125,7,Regular,400,2,2,white
BAG,Baguio,121,17,Town,150,1,2,black
TAC,Tacloban,125,11,Town,150,1,4,black
MMY,Miyakojima,125,25,Town,150,1,4,white
AMM,Amami,129,29,Town,150,1,4,white
IWO,Iwojima,143,27,Town,150,1,2,black
SPN,Saipan,145,19,Town,150,1,2,black
PAL,Palau,135,9,Town,150,1,4,black
YAP,Yap,139,11,Town,150,1,4,black
GUM,Guam,145,13,Town,150,1,2,black
TKK,Chuuk,151,9,Town,150,1,4,black
